Random Seed: 1531399603
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
14, 1.10555,0.13287,0.08,1.085,1.101,1.123,1.79
15, 1.162,0.113452,0.605,1.143,1.159,1.19,1.857
16, 1.2901,0.179495,0.069,1.287,1.31,1.328,1.477
17, 1.59891,0.186338,0.068,1.559,1.593,1.618,2.337
18, 2.83343,0.308372,0.071,2.77,2.84,2.879,3.491
19, 4.35211,0.231485,4.16,4.204,4.349,4.381,5.727
20, 7.64431,0.452654,7.227,7.329,7.614,7.667,10.487
21, 14.4073,0.944562,12.626,13.817,14.325,14.522,20.101
22, 28.3766,1.48963,25.751,27.461,28.356,28.722,36.058
23, 86.269,3.1003,72.922,84.841,86.547,87.735,100.132
24, 169.155,6.05898,143.172,167.046,168.38,171.023,195.78

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 2.13331,0.654926,0.758,1.753,2.041,2.566,3.953
4, 3.55968,0.770862,2.096,3.083,3.461,4.114,5.195
5, 6.46199,1.26823,3.468,5.602,6.204,7.411,9.313
6, 11.6944,1.72024,7.9,10.496,11.432,12.628,16.742
7, 11.7181,1.77491,7.545,10.424,11.509,12.791,16.27
8, 12.1318,1.73183,8.039,10.845,11.997,13.531,16.431
9, 11.6919,1.52435,7.979,10.755,11.712,12.505,15.753
10, 11.7675,1.74998,8.323,10.618,11.525,12.861,17.284
11, 11.5756,1.91905,8.514,10.137,11.4,12.783,19.211
12, 11.8005,2.00255,7.719,10.268,11.411,13.137,16.706
13, 11.8583,1.80852,8.188,10.533,11.692,12.982,17.215
14, 11.9274,1.79696,7.09,10.756,11.867,13.142,16.932
15, 12.3885,1.78674,8.653,11.011,11.934,13.391,17.631
16, 12.6135,1.67059,9.026,11.422,12.377,13.725,16.59
17, 13.9599,1.96812,8.688,12.652,13.86,15.299,18.881
18, 16.4523,2.14482,10.447,14.842,16.623,17.771,23.421
19, 23.4527,3.59094,9.867,22.051,23.315,24.604,42.92
20, 35.5517,9.92011,11.861,31.086,37.456,40.482,70.141
21, 66.871,24.9275,15.641,50.622,69.863,85.506,159.141
22, 139.857,30.6116,67.07,119.127,140.178,157.747,245.607
23, 741.719,92.4908,447.531,686.074,753.005,807.3,945.945
24, 1672.97,128.861,1234.81,1578.98,1694.52,1769.23,1931.92

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03184,0.00966097,0.027,0.029,0.029,0.03,0.112
4, 0.03904,0.0247439,0.028,0.029,0.029,0.032,0.127
5, 0.04015,0.030295,0.027,0.028,0.029,0.031,0.179
6, 0.03797,0.0284779,0.027,0.028,0.029,0.03,0.232
7, 0.04118,0.0322485,0.027,0.029,0.029,0.031,0.2
8, 0.04154,0.032188,0.027,0.028,0.029,0.03,0.209
9, 0.0392,0.0325423,0.027,0.029,0.029,0.03,0.256
10, 0.03658,0.0310449,0.027,0.028,0.029,0.03,0.258
11, 0.03819,0.0306058,0.027,0.028,0.029,0.03,0.247
12, 0.03692,0.028335,0.027,0.028,0.029,0.03,0.24
13, 0.03316,0.0235337,0.026,0.028,0.028,0.029,0.236
14, 0.03822,0.0395448,0.027,0.028,0.028,0.029,0.25
15, 0.04042,0.0504892,0.027,0.028,0.029,0.029,0.282
16, 0.04521,0.0654537,0.027,0.028,0.029,0.032,0.401
17, 0.06609,0.116759,0.027,0.028,0.029,0.032,0.564
18, 0.12075,0.227507,0.027,0.031,0.031,0.033,1.124
19, 0.35401,0.565264,0.027,0.031,0.032,0.497,2.155
20, 1.1038,1.34662,0.028,0.032,0.178,2.099,4.028
21, 3.69913,2.09343,0.031,2.301,3.497,5.326,7.596
22, 10.8057,2.38667,6.669,8.727,10.951,12.878,14.953
23, 25.2321,3.09737,14.335,23.512,25.491,27.585,29.367
24, 53.7509,3.18887,39.393,51.787,54.042,56.12,58.299

Passed all 4 test cases (no assertions).

############ QUnit -> QEngine -> OpenCL ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.05085,0.0638756,0.043,0.044,0.044,0.045,0.686
4, 0.10034,0.123106,0.086,0.087,0.088,0.088,1.325
5, 0.10049,0.123988,0.086,0.087,0.088,0.088,1.334
6, 0.14964,0.181573,0.129,0.13,0.131,0.132,1.956
7, 0.14979,0.180751,0.129,0.13,0.131,0.132,1.948
8, 0.20089,0.247987,0.173,0.174,0.175,0.176,2.668
9, 0.20005,0.243143,0.172,0.174,0.174,0.176,2.619
10, 0.24953,0.310024,0.216,0.217,0.218,0.218,3.334
11, 0.25009,0.309464,0.216,0.217,0.218,0.219,3.329
12, 0.30114,0.374382,0.259,0.262,0.263,0.264,4.026
13, 0.29915,0.36705,0.259,0.26,0.261,0.262,3.951
14, 0.35082,0.427889,0.303,0.305,0.307,0.308,4.608
15, 0.35026,0.431462,0.303,0.304,0.306,0.307,4.643
16, 0.40102,0.497325,0.345,0.349,0.35,0.351,5.349
17, 0.40157,0.496664,0.346,0.349,0.35,0.352,5.343
18, 0.45164,0.561074,0.39,0.393,0.394,0.395,6.034
19, 0.45186,0.554519,0.39,0.393,0.395,0.397,5.969
20, 0.50324,0.618697,0.435,0.438,0.44,0.441,6.659
21, 0.50317,0.615294,0.434,0.438,0.44,0.442,6.625
22, 0.55477,0.676845,0.478,0.484,0.485,0.487,7.289
23, 0.55306,0.674512,0.477,0.482,0.484,0.486,7.264
24, 0.60722,0.743835,0.525,0.528,0.53,0.533,8.008

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.13065,0.00613087,0.127,0.129,0.13,0.13,0.178
4, 0.17337,0.00654929,0.169,0.171,0.172,0.173,0.229
5, 0.21736,0.00817377,0.213,0.215,0.216,0.217,0.289
6, 0.26071,0.00902252,0.256,0.258,0.259,0.26,0.34
7, 0.30332,0.0103749,0.298,0.3,0.301,0.302,0.398
8, 0.34594,0.0114646,0.339,0.343,0.344,0.345,0.451
9, 0.39639,0.0122441,0.39,0.393,0.394,0.395,0.508
10, 0.43381,0.0135135,0.428,0.43,0.431,0.433,0.561
11, 0.48504,0.0165299,0.476,0.48,0.482,0.484,0.643
12, 0.52801,0.0150336,0.521,0.524,0.526,0.527,0.672
13, 0.57232,0.0174263,0.562,0.567,0.569,0.572,0.735
14, 0.61683,0.0192302,0.608,0.612,0.613,0.616,0.8
15, 0.66174,0.0189186,0.654,0.656,0.658,0.661,0.841
16, 0.6982,0.0208806,0.69,0.693,0.695,0.697,0.894
17, 0.75522,0.0212224,0.744,0.749,0.751,0.754,0.957
18, 0.79124,0.0239082,0.78,0.785,0.786,0.79,1.017
19, 0.83425,0.0244133,0.823,0.828,0.83,0.834,1.068
20, 0.87982,0.0255015,0.867,0.873,0.875,0.879,1.12
21, 0.91931,0.0290064,0.908,0.912,0.915,0.918,1.202
22, 0.96186,0.0320375,0.951,0.955,0.957,0.961,1.275
23, 1.01748,0.0311418,1.002,1.01,1.012,1.017,1.319
24, 1.06171,0.033465,1.05,1.055,1.057,1.061,1.39

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.05103,0.0639618,0.043,0.044,0.044,0.045,0.687
4, 0.0508,0.0608174,0.043,0.044,0.044,0.045,0.655
5, 0.05055,0.0604876,0.043,0.044,0.044,0.045,0.652
6, 0.05068,0.0612787,0.043,0.044,0.044,0.045,0.66
7, 0.0507,0.0610505,0.043,0.044,0.044,0.045,0.658
8, 0.05066,0.0606432,0.043,0.044,0.044,0.045,0.654
9, 0.05065,0.0611016,0.043,0.044,0.044,0.045,0.658
10, 0.05033,0.0611854,0.043,0.044,0.044,0.045,0.659
11, 0.05146,0.0613424,0.043,0.044,0.044,0.045,0.661
12, 0.05047,0.0599714,0.043,0.044,0.044,0.045,0.647
13, 0.05046,0.0608677,0.043,0.044,0.044,0.045,0.656
14, 0.05092,0.0612036,0.043,0.044,0.044,0.045,0.659
15, 0.05064,0.0594435,0.043,0.044,0.044,0.045,0.641
16, 0.05082,0.061619,0.043,0.044,0.044,0.045,0.663
17, 0.05052,0.0602849,0.043,0.044,0.044,0.045,0.65
18, 0.05106,0.0630455,0.043,0.044,0.044,0.045,0.678
19, 0.05079,0.063656,0.043,0.044,0.044,0.045,0.684
20, 0.05111,0.0652225,0.043,0.044,0.044,0.045,0.7
21, 0.05109,0.0626432,0.043,0.044,0.044,0.045,0.674
22, 0.05093,0.0614442,0.044,0.044,0.044,0.045,0.662
23, 0.05066,0.0612601,0.043,0.044,0.044,0.045,0.66
24, 0.05081,0.0609578,0.043,0.044,0.044,0.045,0.657

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.04412,0.00307662,0.042,0.043,0.044,0.044,0.069
4, 0.04399,0.00345976,0.043,0.043,0.043,0.044,0.07
5, 0.04402,0.00282482,0.042,0.043,0.044,0.044,0.066
6, 0.04413,0.00311338,0.042,0.043,0.044,0.044,0.066
7, 0.04404,0.00241213,0.043,0.043,0.044,0.044,0.067
8, 0.0442,0.00327414,0.042,0.043,0.044,0.044,0.067
9, 0.04392,0.00264832,0.042,0.043,0.043,0.044,0.067
10, 0.04432,0.00447187,0.042,0.043,0.043,0.044,0.079
11, 0.04427,0.00293889,0.043,0.043,0.044,0.044,0.067
12, 0.04399,0.00319216,0.042,0.043,0.043,0.044,0.068
13, 0.04435,0.0036807,0.042,0.043,0.044,0.044,0.069
14, 0.04435,0.00285088,0.043,0.043,0.044,0.044,0.067
15, 0.04398,0.00296304,0.042,0.043,0.043,0.044,0.068
16, 0.04426,0.00252832,0.043,0.044,0.044,0.044,0.068
17, 0.04428,0.00340904,0.042,0.043,0.044,0.044,0.069
18, 0.04405,0.00349964,0.042,0.043,0.043,0.044,0.068
19, 0.04418,0.00390738,0.042,0.043,0.044,0.044,0.073
20, 0.04443,0.00409452,0.042,0.043,0.044,0.044,0.073
21, 0.04405,0.00299458,0.043,0.043,0.044,0.044,0.07
22, 0.04423,0.00397456,0.042,0.043,0.044,0.044,0.073
23, 0.04426,0.00340183,0.043,0.043,0.044,0.044,0.069
24, 0.04495,0.00381935,0.043,0.044,0.044,0.045,0.073

Passed all 4 test cases (no assertions).

############ QUnit -> QEngine -> OpenCL Multi ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03395,0.134058,0.019,0.019,0.02,0.02,1.367
4, 0.0674,0.25727,0.037,0.038,0.039,0.04,2.625
5, 0.06591,0.258509,0.036,0.037,0.038,0.038,2.636
6, 0.10125,0.38309,0.054,0.056,0.057,0.068,3.911
7, 0.0998,0.39021,0.055,0.057,0.057,0.063,3.981
8, 0.13753,0.514085,0.073,0.076,0.084,0.085,5.249
9, 0.14035,0.532662,0.075,0.079,0.08,0.091,5.438
10, 0.17439,0.642015,0.092,0.095,0.113,0.115,6.56
11, 0.17464,0.648346,0.092,0.094,0.113,0.115,6.623
12, 0.21264,0.764425,0.112,0.115,0.137,0.139,7.815
13, 0.21065,0.778412,0.111,0.113,0.135,0.136,7.952
14, 0.24663,0.896251,0.129,0.157,0.158,0.16,9.163
15, 0.24727,0.899765,0.129,0.134,0.158,0.16,9.197
16, 0.2816,1.02302,0.145,0.178,0.18,0.181,10.458
17, 0.28163,1.0284,0.147,0.152,0.179,0.181,10.511
18, 0.31886,1.15407,0.166,0.201,0.203,0.205,11.799
19, 0.31666,1.15556,0.166,0.199,0.203,0.205,11.812
20, 0.35199,1.29012,0.185,0.22,0.225,0.227,13.186
21, 0.35355,1.28783,0.184,0.222,0.224,0.228,13.165
22, 0.38601,1.42031,0.201,0.234,0.246,0.249,14.515
23, 0.38725,1.42402,0.201,0.234,0.246,0.249,14.553
24, 0.42368,1.5498,0.219,0.265,0.268,0.27,15.841

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.13077,0.00578076,0.127,0.129,0.13,0.13,0.18
4, 0.1738,0.00660152,0.169,0.172,0.173,0.173,0.232
5, 0.21832,0.00791944,0.215,0.216,0.217,0.217,0.288
6, 0.26084,0.0110016,0.256,0.258,0.259,0.26,0.364
7, 0.30624,0.0104222,0.302,0.303,0.304,0.306,0.401
8, 0.34889,0.0113021,0.344,0.346,0.347,0.348,0.454
