Random Seed: 1531369427
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
15, 1927.16,23.0698,1900.23,1908.04,1918.27,1937.39,2029.84
16, 3965.27,67.3479,3854.78,3916.79,3940.6,3983.4,4125.25
17, 9582.02,136.369,9296.4,9479.71,9514.42,9722.89,9910.47

Passed all 3 test cases with 1500 assertions.

############ QUnit -> QEngine -> OpenCL ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.06656,0.0684986,0.057,0.058,0.058,0.059,0.747
4, 0.13252,0.122722,0.114,0.115,0.117,0.123,1.352
5, 0.13316,0.126618,0.114,0.115,0.122,0.123,1.392
6, 0.19627,0.185377,0.172,0.173,0.175,0.181,2.04
7, 0.198,0.18455,0.171,0.174,0.18,0.182,2.033
8, 0.26536,0.249044,0.228,0.235,0.238,0.246,2.742
9, 0.26424,0.247627,0.228,0.234,0.238,0.245,2.727
10, 0.33128,0.311041,0.287,0.296,0.298,0.304,3.425
11, 0.32836,0.316321,0.287,0.29,0.296,0.303,3.475
12, 0.38782,0.379282,0.333,0.336,0.346,0.361,4.159
13, 0.37547,0.37939,0.333,0.335,0.336,0.337,4.15
14, 0.43725,0.444826,0.388,0.39,0.391,0.393,4.863
15, 0.43742,0.441901,0.388,0.391,0.391,0.393,4.834
16, 0.49819,0.506845,0.442,0.445,0.446,0.447,5.541
17, 0.49846,0.508123,0.443,0.445,0.446,0.448,5.554
18, 0.55941,0.565015,0.497,0.5,0.501,0.503,6.181
19, 0.55706,0.571677,0.493,0.497,0.498,0.5,6.245
20, 0.61666,0.625693,0.548,0.551,0.552,0.554,6.842
21, 0.61241,0.64582,0.521,0.535,0.551,0.554,7.036
22, 0.64992,0.681984,0.553,0.576,0.581,0.587,7.435
23, 0.65322,0.681565,0.555,0.576,0.583,0.591,7.433
24, 0.6296,0.747008,0.547,0.551,0.553,0.555,8.062

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.13387,0.00556175,0.131,0.132,0.133,0.134,0.183
