Random Seed: 1532566783
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla V100-SXM2-16GB
OpenCL device #0: Tesla V100-SXM2-16GB
OpenCL device #1: Tesla V100-SXM2-16GB
OpenCL device #2: Tesla V100-SXM2-16GB
OpenCL device #3: Tesla V100-SXM2-16GB
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
16, 0.04583,0.0951295,0.035,0.036,0.036,0.036,0.992
17, 0.05168,0.100164,0.04,0.041,0.041,0.041,1.048
18, 0.06343,0.109829,0.051,0.052,0.052,0.052,1.156
19, 0.08791,0.129864,0.074,0.074,0.075,0.075,1.38
20, 0.19026,0.16756,0.171,0.172,0.173,0.173,1.857
21, 0.33962,0.246642,0.312,0.313,0.314,0.315,2.793
22, 0.63997,0.408059,0.595,0.598,0.599,0.6,4.7
23, 1.24186,0.711113,1.164,1.167,1.169,1.171,8.317
24, 2.4453,1.33116,2.297,2.309,2.311,2.313,15.69
25, 4.84683,2.54019,4.532,4.586,4.59,4.594,30.121
26, 9.65095,4.97517,9.102,9.142,9.149,9.156,59.153
27, 19.2574,9.82613,18.213,18.257,18.265,18.277,117.026
28, 38.469,19.5247,36.425,36.49,36.503,36.529,232.737

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03937,0.0863369,0.029,0.03,0.03,0.031,0.898
4, 0.03854,0.0747576,0.03,0.03,0.031,0.031,0.782
5, 0.03796,0.0727718,0.03,0.03,0.031,0.031,0.762
6, 0.03782,0.0711768,0.03,0.03,0.031,0.031,0.746
7, 0.03763,0.0688179,0.029,0.03,0.03,0.031,0.722
8, 0.04961,0.187995,0.029,0.03,0.03,0.031,1.92
9, 0.05168,0.211695,0.029,0.03,0.03,0.031,2.158
10, 0.03953,0.0903327,0.029,0.03,0.03,0.03,0.938
11, 0.03946,0.0901317,0.029,0.03,0.03,0.03,0.936
12, 0.03995,0.0906978,0.03,0.03,0.031,0.031,0.942
13, 0.04053,0.0909145,0.03,0.031,0.031,0.031,0.945
14, 0.04195,0.0920273,0.031,0.032,0.032,0.033,0.957
15, 0.04431,0.0925674,0.034,0.034,0.035,0.035,0.965
16, 0.04928,0.095991,0.038,0.039,0.039,0.039,1.004
17, 0.05887,0.0997217,0.048,0.048,0.049,0.049,1.051
18, 0.07848,0.109612,0.066,0.067,0.067,0.067,1.169
19, 0.11715,0.129135,0.103,0.104,0.104,0.104,1.402
20, 0.29336,0.166814,0.273,0.275,0.276,0.277,1.953
21, 0.54779,0.249407,0.516,0.52,0.523,0.524,3.029
22, 1.05251,0.403324,1.004,1.009,1.011,1.014,5.065
23, 2.06333,0.711592,1.944,1.988,1.991,1.993,9.143
24, 4.07555,1.32374,3.893,3.937,3.941,3.944,17.246
25, 8.09989,2.53949,7.799,7.835,7.843,7.849,33.367
26, 16.1603,4.98089,15.6,15.646,15.658,15.671,65.719
27, 32.2935,9.82405,31.238,31.285,31.307,31.33,130.041
28, 64.5457,19.5563,62.468,62.553,62.588,62.609,259.128

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 5.47295,0.79357,4.123,5.161,5.296,5.664,9.494
4, 8.35475,0.360314,7.642,8.159,8.209,8.706,9.396
5, 11.299,0.643745,9.574,10.957,11.314,11.78,12.515
6, 17.5296,1.05347,14.98,16.868,17.41,18.378,20.358
7, 25.3493,2.48104,17.54,23.603,25.446,26.839,31.542
8, 40.8529,6.78424,32.591,33.455,43.736,46.995,50.479
9, 72.4722,1.03093,63.745,72.38,72.793,72.857,73.787
10, 109.591,0.169988,109.404,109.526,109.564,109.614,111.007
11, 183.716,13.6815,157.008,187.784,190.412,191.356,194.097
12, 248.824,0.807647,248.117,248.323,248.494,248.91,252.401
13, 364.743,1.58361,363.761,364,364.255,364.571,371.74
14, 537.461,1.90389,535.589,536.414,536.788,537.557,546.154
15, 786.628,1.53612,784.42,785.449,786.387,787.066,793.565
16, 1200.15,2.83845,1197.37,1198.52,1199.07,1201.02,1213.73

Passed all 5 test cases with 1400 assertions.

############ QEngineOCLMulti ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.71884,0.160915,0.041,0.662,0.787,0.809,1.049
4, 2.30583,0.334649,1.825,2.138,2.29,2.402,4.858
5, 2.0304,0.234462,1.618,1.9,2.024,2.13,3.647
6, 3.43738,0.350981,2.564,3.242,3.448,3.569,6.046
7, 2.61815,0.288696,2.005,2.469,2.608,2.735,4.657
8, 4.06396,0.326722,3.504,3.821,4.029,4.227,5.928
9, 3.10578,0.315776,2.399,2.982,3.113,3.266,5.252
10, 8.07174,0.855242,4.037,7.678,8.177,8.54,10.458
11, 5.76427,0.754932,1.965,5.46,5.903,6.185,8.828
12, 12.4479,0.811356,9.627,12.097,12.555,13.037,13.958
13, 6.34219,0.579055,3.935,6.005,6.385,6.679,9.278
14, 12.6756,1.01956,10.051,11.913,12.729,13.45,15.008
15, 6.72506,0.811711,3.019,6.327,6.802,7.209,8.834
16, 13.487,0.981447,11.218,12.715,13.524,14.325,15.285
17, 7.66164,0.770761,3.836,7.315,7.66,8.098,9.71
18, 14.9823,1.13798,12.239,14.201,15.015,15.644,17.418
19, 10.8816,1.01846,6.482,10.23,10.796,11.547,13.428
20, 22.5364,1.95845,16.869,21.258,22.605,23.716,28.054
21, 17.9575,1.62877,13.39,17.069,17.884,18.989,21.493
22, 38.941,2.98203,32.782,36.985,38.968,40.545,46.325
23, 39.2434,3.90838,31.499,35.845,39.228,42.044,48.398
24, 123.799,4.47468,111.053,120.973,123.914,126.94,133.593
25, 155.272,3.30348,146.556,153.029,155.186,157.067,163.078
26, 487.065,5.55258,474.149,483.709,487.078,490.382,499.937
27, 603.247,7.16693,584.092,598.53,604.828,607.933,636.028
28, 1905.5,12.2859,1874.92,1897.93,1904.92,1914.47,1935.66

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.51882,0.149227,0.096,0.465,0.542,0.607,0.994
4, 4.93089,0.613008,3.026,4.721,5.007,5.288,7.381
5, 4.60694,0.847272,1.333,4.283,4.828,5.119,7.356
6, 5.06137,0.480318,3.574,4.856,5.137,5.313,7.004
7, 5.00253,0.603268,2.075,4.782,5.07,5.288,7.594
8, 5.20015,0.578362,3.372,4.949,5.25,5.502,7.73
9, 5.3014,0.741712,1.324,5.004,5.332,5.785,7.208
10, 5.848,0.967681,2.703,5.337,6.041,6.413,10.526
11, 6.64511,0.733393,4.602,6.46,6.758,7.03,9.839
12, 8.14512,0.886061,5.465,7.939,8.2,8.682,11.76
13, 8.30446,0.708356,5.331,7.929,8.257,8.638,12.109
14, 9.3014,0.512122,8.412,9.072,9.226,9.484,13.479
15, 8.96251,0.492053,8.258,8.674,8.884,9.155,12.929
16, 9.6635,0.452887,8.537,9.537,9.687,9.808,13.341
17, 8.22783,0.831335,5.658,7.848,8.261,8.688,12.257
18, 8.5433,0.926306,6.072,8.359,8.621,8.977,12.706
19, 9.01425,0.620665,7.784,8.598,8.911,9.25,12.885
20, 11.6583,0.734718,9.985,11.238,11.559,11.97,16.368
21, 14.1566,0.899491,12.63,13.602,14.114,14.594,20.084
22, 18.6087,1.10657,16.695,18.144,18.443,18.949,25.989
23, 25.618,1.82258,23.495,24.699,25.422,26.012,38.3
24, 63.7058,8.81258,44.073,59.656,62.038,69.96,78.051
25, 139.837,3.78586,133.182,137.942,139.485,141.564,168.587
26, 259.574,7.92556,244.38,255.825,258.307,263.165,310.921
27, 512.359,12.8394,469.631,505.41,513.225,518.531,576.215
28, 1007.6,29.3656,944.094,993.156,1008.69,1018.7,1212.28

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.76264,0.337119,0.045,0.657,0.73,0.816,3.834
4, 0.52084,0.236398,0.072,0.449,0.511,0.573,2.649
5, 0.54822,0.2261,0.331,0.463,0.529,0.59,2.659
6, 0.54067,0.243871,0.337,0.454,0.517,0.589,2.813
7, 0.53282,0.226195,0.33,0.466,0.514,0.552,2.661
8, 0.51087,0.177216,0.082,0.442,0.5,0.556,2.085
9, 0.53807,0.235331,0.086,0.463,0.523,0.587,2.651
10, 0.54356,0.233469,0.35,0.468,0.518,0.563,2.748
11, 0.5099,0.334539,0.072,0.453,0.511,0.565,3.504
12, 0.55331,0.346571,0.091,0.461,0.524,0.587,3.868
13, 0.52578,0.249888,0.09,0.457,0.502,0.559,2.849
14, 0.53874,0.198351,0.326,0.462,0.525,0.577,2.329
15, 0.53461,0.272695,0.297,0.458,0.51,0.57,3.15
16, 0.49004,0.210533,0.07,0.426,0.49,0.536,2.244
17, 0.54094,0.20243,0.275,0.466,0.517,0.571,2.362
18, 0.55159,0.364157,0.075,0.47,0.527,0.574,4.035
19, 0.54445,0.362631,0.308,0.454,0.505,0.558,4.057
20, 0.53462,0.411053,0.296,0.427,0.492,0.568,4.529
21, 0.52215,0.187619,0.074,0.44,0.513,0.591,1.992
22, 0.55665,0.612375,0.214,0.397,0.479,0.586,6.524
23, 0.56048,0.837969,0.229,0.37,0.431,0.503,8.648
24, 0.75765,1.85932,0.155,0.366,0.456,0.544,18.702
25, 1.47925,3.26931,0.25,0.407,0.523,1.484,31.5
26, 3.62915,6.508,0.271,0.483,1.513,5.582,61.829
27, 12.1464,11.4078,3.201,7.75,11.644,14.516,117.621
28, 31.4578,21.0564,21.459,25.66,29.45,32.946,236.7

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.55365,0.248024,0.337,0.474,0.532,0.593,2.91
4, 0.55718,0.240018,0.347,0.488,0.542,0.589,2.81
5, 0.55221,0.254073,0.33,0.458,0.521,0.597,2.93
6, 0.53976,0.247458,0.333,0.452,0.511,0.58,2.867
7, 0.54638,0.248599,0.291,0.448,0.524,0.595,2.822
8, 0.53292,0.23209,0.305,0.444,0.517,0.575,2.679
9, 0.48348,0.107696,0.074,0.434,0.5,0.565,0.667
10, 0.54579,0.3826,0.3,0.439,0.513,0.573,4.261
11, 0.5381,0.142395,0.339,0.466,0.531,0.587,1.72
12, 0.55309,0.369847,0.357,0.457,0.504,0.573,4.148
13, 0.48985,0.128973,0.27,0.419,0.479,0.545,1.486
14, 0.56429,0.376623,0.333,0.46,0.542,0.591,4.208
15, 0.48686,0.160033,0.073,0.437,0.48,0.552,1.513
16, 0.55037,0.297156,0.307,0.458,0.529,0.572,3.37
17, 0.52897,0.0833462,0.3,0.484,0.527,0.593,0.692
18, 0.53786,0.216318,0.077,0.469,0.529,0.572,2.439
19, 0.52991,0.385736,0.1,0.42,0.486,0.564,4.236
20, 0.59474,0.487853,0.204,0.484,0.54,0.634,5.323
21, 0.50476,0.206424,0.089,0.417,0.482,0.56,2.186
22, 0.56653,0.774249,0.276,0.386,0.451,0.537,8.072
23, 0.65949,1.10469,0.246,0.371,0.457,0.539,11.031
24, 1.14998,2.15547,0.272,0.416,0.505,1.006,20.213
25, 2.89802,4.24509,0.249,0.48,1.522,4.172,37.455
26, 9.61679,7.34666,0.896,5.502,9.225,12.816,69.17
27, 25.5138,11.6756,16.322,20.223,24.433,28.616,132.362
28, 56.3614,20.9453,47.597,50.573,53.191,58.396,259.994

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 5.64127,1.7144,4.148,5.2,5.663,5.749,22.382
4, 8.42036,1.18408,7.217,7.958,8.303,8.768,19.315
5, 11.5044,1.24823,9.996,10.981,11.435,11.783,22.572
6, 18.4257,1.66573,15.268,17.708,18.468,18.925,31.274
7, 26.5673,2.22015,21.005,25.523,26.127,27.287,41.338
8, 47.2927,3.61716,38.478,44.883,47.283,50.645,60.034
9, 65.8033,1.78412,65.49,65.587,65.621,65.651,83.546
10, 123.456,2.08161,122.968,123.119,123.195,123.301,143.955
11, 172.057,5.8592,170.399,170.589,170.72,171.115,218.546
12, 263.311,2.9456,261.92,262.399,262.693,263.143,290.564
13, 348.01,13.8602,344.225,344.484,344.643,344.927,431.953
14, 542.665,4.30386,532.632,542.001,542.274,543.096,574.264
15, 782.59,3.58071,780.252,781.137,781.784,782.809,814.225
16, 1128.99,3.84734,1127.15,1127.58,1128.14,1129.25,1163.91

Passed all 5 test cases with 1400 assertions.

############ QUnit -> QEngine -> OpenCL ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.0519,0.202635,0.03,0.031,0.031,0.032,2.068
4, 0.10223,0.397778,0.061,0.061,0.062,0.062,4.06
5, 0.10163,0.394123,0.061,0.061,0.062,0.062,4.023
6, 0.14859,0.559358,0.09,0.091,0.092,0.092,5.714
7, 0.15272,0.600453,0.09,0.091,0.092,0.092,6.127
8, 0.20013,0.765834,0.121,0.122,0.122,0.123,7.82
9, 0.19076,0.675125,0.12,0.121,0.122,0.123,6.908
10, 0.2442,0.897693,0.151,0.152,0.153,0.154,9.176
11, 0.24376,0.895724,0.151,0.152,0.152,0.153,9.156
12, 0.29307,1.08002,0.181,0.182,0.183,0.184,11.039
13, 0.29146,1.0638,0.181,0.182,0.183,0.185,10.876
14, 0.33739,1.21386,0.211,0.213,0.214,0.215,12.415
15, 0.34291,1.27059,0.211,0.213,0.214,0.215,12.985
16, 0.39438,1.47648,0.242,0.243,0.244,0.245,15.085
17, 0.38853,1.41968,0.241,0.243,0.244,0.245,14.514
18, 0.43132,1.53296,0.273,0.274,0.275,0.277,15.684
19, 0.43675,1.58508,0.273,0.275,0.276,0.277,16.208
20, 0.48653,1.77304,0.304,0.305,0.306,0.308,18.128
21, 0.50213,1.81107,0.315,0.317,0.318,0.319,18.522
22, 0.5521,1.98465,0.348,0.349,0.351,0.352,20.299
23, 0.55086,1.96406,0.349,0.351,0.352,0.353,20.093
24, 0.57827,2.08714,0.364,0.366,0.367,0.368,21.345
25, 0.57956,2.08953,0.364,0.366,0.368,0.37,21.37
26, 0.62831,2.26021,0.396,0.398,0.399,0.402,23.117
27, 0.62656,2.25817,0.394,0.397,0.398,0.4,23.095
28, 0.67363,2.41354,0.424,0.427,0.429,0.432,24.688

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.09655,0.0545805,0.089,0.09,0.09,0.091,0.639
4, 0.12814,0.0573997,0.12,0.121,0.121,0.122,0.698
5, 0.15784,0.0605217,0.149,0.15,0.151,0.151,0.759
6, 0.18872,0.0632337,0.179,0.18,0.181,0.181,0.816
7, 0.22186,0.0663105,0.212,0.213,0.214,0.215,0.88
8, 0.2531,0.0691742,0.243,0.244,0.245,0.246,0.94
9, 0.28482,0.0737457,0.273,0.275,0.276,0.277,1.017
10, 0.31492,0.0749799,0.303,0.305,0.306,0.307,1.059
11, 0.34761,0.0822087,0.334,0.336,0.337,0.339,1.164
12, 0.37997,0.0822193,0.367,0.369,0.37,0.372,1.196
13, 0.40938,0.0837595,0.395,0.398,0.399,0.402,1.241
14, 0.44057,0.0890126,0.426,0.428,0.429,0.432,1.324
15, 0.47036,0.092232,0.455,0.458,0.459,0.461,1.386
16, 0.50177,0.0952143,0.487,0.489,0.49,0.492,1.447
17, 0.5319,0.0958802,0.517,0.519,0.52,0.523,1.484
18, 0.56471,0.101493,0.547,0.551,0.552,0.556,1.572
19, 0.59696,0.10561,0.578,0.581,0.583,0.589,1.644
20, 0.62852,0.106479,0.608,0.612,0.615,0.62,1.685
21, 0.66021,0.113326,0.641,0.645,0.646,0.651,1.786
22, 0.68946,0.111265,0.671,0.674,0.675,0.679,1.794
23, 0.72134,0.115874,0.702,0.705,0.707,0.71,1.872
24, 0.75438,0.116265,0.735,0.738,0.739,0.744,1.908
25, 0.78458,0.123824,0.764,0.767,0.769,0.776,2.014
26, 0.81793,0.12603,0.796,0.8,0.801,0.807,2.069
27, 0.84716,0.127063,0.826,0.829,0.831,0.837,2.108
28, 0.87769,0.133387,0.855,0.859,0.861,0.866,2.202

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.05385,0.226961,0.03,0.03,0.031,0.031,2.312
4, 0.05572,0.247268,0.03,0.031,0.031,0.031,2.516
5, 0.05363,0.224974,0.03,0.03,0.031,0.031,2.292
6, 0.05238,0.209736,0.03,0.031,0.031,0.031,2.139
7, 0.05371,0.228877,0.03,0.03,0.031,0.031,2.331
8, 0.05428,0.228329,0.03,0.031,0.031,0.031,2.326
9, 0.05212,0.210343,0.03,0.031,0.031,0.031,2.145
10, 0.05406,0.227451,0.03,0.031,0.031,0.031,2.317
11, 0.05433,0.233237,0.03,0.031,0.031,0.031,2.375
12, 0.052,0.208859,0.03,0.03,0.031,0.031,2.13
13, 0.05437,0.227737,0.03,0.031,0.031,0.031,2.32
14, 0.05432,0.226828,0.03,0.031,0.031,0.031,2.311
15, 0.05573,0.246363,0.03,0.031,0.031,0.031,2.507
16, 0.05464,0.230017,0.03,0.031,0.031,0.031,2.343
17, 0.05449,0.233839,0.03,0.03,0.031,0.031,2.381
18, 0.05247,0.210925,0.03,0.031,0.031,0.031,2.151
19, 0.05454,0.234127,0.03,0.03,0.031,0.031,2.384
20, 0.05465,0.232113,0.03,0.031,0.031,0.031,2.364
21, 0.0544,0.229739,0.03,0.031,0.031,0.031,2.34
22, 0.05584,0.247966,0.03,0.03,0.031,0.031,2.523
23, 0.054,0.229659,0.03,0.03,0.031,0.031,2.339
24, 0.05415,0.229847,0.03,0.03,0.031,0.031,2.341
25, 0.05447,0.232738,0.03,0.03,0.031,0.031,2.37
26, 0.05443,0.232435,0.03,0.03,0.031,0.031,2.367
27, 0.05409,0.229348,0.03,0.03,0.031,0.031,2.336
28, 0.05647,0.248237,0.03,0.031,0.031,0.031,2.526

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03577,0.0484914,0.03,0.03,0.031,0.031,0.518
4, 0.03577,0.0503799,0.03,0.03,0.031,0.031,0.537
5, 0.03575,0.0483143,0.03,0.03,0.031,0.031,0.516
6, 0.03576,0.0481171,0.03,0.03,0.031,0.031,0.514
7, 0.03587,0.0486024,0.03,0.03,0.031,0.031,0.518
8, 0.03545,0.0484015,0.03,0.03,0.031,0.031,0.517
9, 0.03567,0.048312,0.03,0.03,0.031,0.031,0.516
10, 0.03562,0.0483609,0.03,0.03,0.03,0.031,0.516
11, 0.03557,0.0484249,0.03,0.03,0.03,0.031,0.517
12, 0.0357,0.0484115,0.03,0.03,0.031,0.031,0.517
13, 0.03566,0.0481259,0.03,0.03,0.031,0.031,0.514
14, 0.03588,0.0481851,0.03,0.03,0.031,0.031,0.515
15, 0.03577,0.0485574,0.03,0.03,0.03,0.031,0.518
16, 0.03579,0.0486097,0.03,0.03,0.031,0.031,0.519
17, 0.03604,0.0503581,0.03,0.03,0.031,0.031,0.537
18, 0.03572,0.0486128,0.03,0.03,0.031,0.031,0.519
19, 0.03585,0.0485965,0.03,0.03,0.031,0.031,0.518
20, 0.03553,0.0484056,0.03,0.03,0.03,0.031,0.517
21, 0.0358,0.0490455,0.03,0.03,0.031,0.031,0.523
22, 0.03596,0.048695,0.03,0.03,0.031,0.031,0.52
23, 0.03595,0.0486112,0.03,0.031,0.031,0.031,0.519
24, 0.03636,0.0489344,0.03,0.031,0.031,0.031,0.522
25, 0.03597,0.0486805,0.03,0.031,0.031,0.031,0.52
26, 0.03612,0.048584,0.03,0.031,0.031,0.031,0.519
27, 0.03615,0.0487168,0.03,0.031,0.031,0.031,0.52
28, 0.03593,0.0484812,0.03,0.03,0.031,0.031,0.518

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 17.6408,0.631143,15.888,17.238,17.559,18.081,19.133
4, 26.9003,0.879436,24.956,26.267,26.875,27.554,28.862
5, 36.3979,1.08829,33.385,35.693,36.424,37.1,39.19
6, 49.3527,1.32931,46.53,48.219,49.408,50.252,53.083
7, 63.861,1.76406,60.821,62.601,63.716,64.579,70.212
8, 87.3584,3.85559,78.086,84.472,87.586,90.356,95.06
9, 123.806,3.81009,109.892,123.215,124.682,126.082,128.774
10, 195.534,4.3172,175.731,194.613,196.511,198.291,202.041
11, 264.382,7.65972,233.839,264.336,266.585,268.615,271.948
12, 362.487,15.4719,321.275,358.86,369.631,371.942,375.858
13, 473.067,22.263,449.533,453.167,470.74,476.213,522.633
14, 657.166,20.5819,636.037,638.681,648.924,671.941,744.054
15, 931.707,23.0133,843.035,914.239,916.589,956.82,969.195
16, 1413.25,40.6493,1269.44,1368.75,1443.21,1446.98,1464.09

Passed all 5 test cases with 1400 assertions.

############ QUnit -> QEngine -> OpenCL Multi ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.09392,0.616732,0.02,0.021,0.021,0.024,6.215
4, 0.17773,1.13909,0.039,0.047,0.048,0.049,11.5
5, 0.17179,1.06488,0.04,0.047,0.048,0.049,10.754
6, 0.25525,1.66212,0.057,0.069,0.072,0.073,16.785
7, 0.25697,1.65326,0.058,0.069,0.071,0.073,16.698
