Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 8.26637,0.0724124,8.1,8.213,8.281,8.31,8.466
5, 11.2226,0.0644156,11.086,11.176,11.211,11.264,11.489
6, 17.4205,0.566913,15.929,17.585,17.646,17.677,17.815
7, 23.9772,0.224197,23.599,23.755,24.085,24.185,24.382
8, 35.4611,0.0924229,35.245,35.409,35.448,35.512,35.922
9, 50.257,0.114494,50.032,50.179,50.246,50.331,50.725
10, 74.739,0.169212,74.486,74.623,74.723,74.831,75.683
11, 105.138,1.72925,104.13,104.615,104.695,104.855,113.922
12, 152.231,0.430966,151.714,152.028,152.161,152.287,154.773
13, 219.967,2.62377,218.829,219.26,219.406,219.68,239.84
14, 333.577,2.07939,332.239,332.656,333.016,333.503,351.011
15, 570.817,0.830472,569.73,570.326,570.672,571.024,575.757
16, 1187.03,1.23288,1183.85,1186.27,1186.95,1187.51,1192.07

Passed all 5 test cases with 1400 assertions.

############ QEngineOCLMulti ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03329,0.0136421,0.028,0.029,0.03,0.031,0.142
4, 0.13268,0.0357329,0.115,0.121,0.123,0.126,0.422
5, 0.03341,0.0249804,0.027,0.028,0.029,0.03,0.242
6, 0.12738,0.0336959,0.114,0.117,0.121,0.123,0.369
7, 0.03443,0.0478646,0.026,0.027,0.028,0.029,0.49
8, 0.13047,0.0346541,0.115,0.118,0.122,0.125,0.36
9, 0.04613,0.0794169,0.027,0.027,0.028,0.031,0.666
10, 0.14164,0.0767448,0.118,0.121,0.125,0.127,0.788
11, 0.04509,0.0793813,0.027,0.028,0.03,0.031,0.731
12, 0.15461,0.0871666,0.123,0.13,0.133,0.136,0.78
13, 0.05412,0.0920616,0.027,0.03,0.03,0.031,0.619
