Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
15, 15, 22.4205,2.6232,8.132,20.841,22.6555,24.278,26.683
15, 16, 23.5792,2.04843,17.514,22.5015,23.7975,25.007,28.59
15, 17, 24.3957,2.76646,15.653,22.8565,24.908,26.506,30.007
15, 18, 26.0719,2.29323,20.321,24.898,26.2285,27.7085,30.928
15, 19, 27.028,2.2065,20.595,25.784,27.16,28.497,32.632
15, 20, 28.0171,2.38504,20.011,26.8475,28.0705,29.632,32.748
16, 1, 0.29933,0.260688,0.019,0.022,0.3605,0.397,1.047
16, 2, 0.67218,0.425789,0.032,0.371,0.66,1.0015,1.636
16, 3, 1.18457,1.09385,0.052,0.6375,1.042,1.427,9.671
16, 4, 2.3906,2.30778,0.232,1.157,1.6565,2.1845,10.774
16, 5, 4.64544,4.07302,0.459,1.69,2.224,7.2205,18.138
16, 6, 8.18989,4.85342,0.578,2.737,8.37,11.5905,19.55
16, 7, 10.8761,4.7358,0.814,8.345,10.9325,13.9565,19.986
16, 8, 14.7651,4.57541,1.385,12.2245,15.1745,18.098,23.217
16, 9, 16.8624,4.32466,2.36,14.67,17.4255,19.7245,25.341
16, 10, 17.3446,3.45774,10.127,14.2675,17.623,19.458,25.335
16, 11, 20.7787,3.32817,8.763,18.746,20.7585,22.7745,27.277
16, 12, 22.0375,3.26104,7.331,20.21,22.303,24.5075,27.674
16, 13, 23.3395,3.01205,9.949,21.076,23.377,25.7555,29.602
16, 14, 25.0465,2.77343,17.612,23.1255,25.2485,26.807,31.517
16, 15, 25.7646,3.35199,13.483,23.6045,25.965,28.149,32.468
16, 16, 28.0534,2.65615,20.58,26.187,28.0655,30.3615,35.194
16, 17, 28.697,3.47683,17.707,26.4785,28.9685,31.313,36.996
16, 18, 30.4621,2.98403,23.99,28.549,30.5105,32.9425,35.392
16, 19, 31.8234,2.60685,23.229,30.3455,31.7405,33.774,36.886
16, 20, 31.8009,2.65159,23.575,30.484,31.9105,33.7375,37.842
17, 1, 0.28928,0.278186,0.02,0.023,0.3495,0.3725,1.146
17, 2, 0.59147,0.419814,0.035,0.3475,0.5525,0.844,2.335
17, 3, 1.14553,0.810242,0.053,0.7895,1.065,1.4225,6.119
17, 4, 3.10732,2.79016,0.069,1.4665,1.9085,2.7315,11.197
17, 5, 5.41993,4.36698,0.708,1.834,2.881,8.6445,19.183
17, 6, 8.92196,5.78763,1.466,2.389,8.763,13.443,22.256
17, 7, 13.5619,4.97166,1.791,10.0805,13.9085,17.104,24.776
17, 8, 15.8544,4.78563,2.628,12.733,15.3895,19.3425,25.449
17, 9, 19.6798,4.47349,8.096,16.212,20.1125,23.0865,29.446
17, 10, 21.336,4.64805,10.57,18.321,21.404,24.936,31.074
17, 11, 23.6791,4.27318,13.296,20.3595,23.525,26.748,34.177
17, 12, 26.524,4.01364,16.804,23.567,27.166,29.2985,35.835
17, 13, 29.4915,3.72932,19.985,27.062,30.167,31.766,37.382
17, 14, 31.4411,3.54504,18.126,29.3145,31.4585,34.056,39.008
17, 15, 30.4044,3.79574,19.154,27.904,30.802,33.45,38.496
17, 16, 33.9326,3.23488,25.425,32.052,34.257,35.986,41.213
17, 17, 34.308,3.36961,23.83,32.461,34.7775,36.8175,41.308
17, 18, 36.5964,3.59589,22.569,33.8525,36.757,39.0755,44.779
17, 19, 36.645,3.55405,28.988,33.6005,36.851,39.1515,44.037
17, 20, 36.8452,3.35901,29.446,34.029,36.7655,39.123,43.956
18, 1, 0.30561,0.316865,0.021,0.024,0.351,0.439,1.468
18, 2, 0.66795,0.446292,0.037,0.367,0.6205,0.9695,2.104
18, 3, 1.14566,0.676141,0.055,0.7,1.1555,1.4845,5.274
18, 4, 2.92911,3.37059,0.072,1.214,1.586,2.2685,13.47
18, 5, 5.5877,4.37142,0.464,1.926,4.8335,8.6615,22.893
18, 6, 10.5837,5.96949,1.006,6.1365,10.869,14.1745,28.605
18, 7, 14.738,5.88673,1.553,10.3475,14.6655,18.6295,30.735
18, 8, 20.1987,6.44108,2.073,16.182,19.746,24.3935,33.681
18, 9, 22.6826,6.10688,7.202,17.843,22.65,26.933,37.096
18, 10, 25.734,5.89898,6.163,22.042,26.2465,30.372,37.671
18, 11, 29.5402,5.72693,14.142,25.9015,30.2355,33.7905,39.884
18, 12, 34.0621,5.89231,20.72,29.936,35.035,38.679,44.814
18, 13, 35.1423,4.67018,23.791,31.8885,35.8525,38.2875,45.43
18, 14, 36.7646,4.8071,25.81,33.3325,37.974,41.0505,47.838
18, 15, 37.6541,4.09297,28.06,34.8295,38.1985,40.7925,45.778
18, 16, 38.5716,3.63538,27.398,36.016,39.009,41.5615,47.591
18, 17, 39.7347,3.49596,31.96,37.3035,39.7435,42.1295,49.673
18, 18, 41.6281,3.2408,31.886,40.2045,42.188,43.3145,49.075
18, 19, 40.0634,3.59511,29.77,37.817,39.9435,42.7545,47.04
18, 20, 43.2181,3.56548,29.886,40.9105,43.411,45.5505,52.113
19, 1, 0.34808,0.315152,0.022,0.026,0.365,0.4895,1.347
19, 2, 0.81819,0.519079,0.04,0.407,0.7705,1.1555,2.294
19, 3, 1.41341,0.850771,0.056,0.899,1.3545,1.727,5.962
19, 4, 2.7677,2.85321,0.412,1.211,1.7795,2.3225,12.154
19, 5, 6.70268,5.40317,0.695,2.1005,5.4035,10.73,21.099
19, 6, 12.5932,6.90333,1.288,7.623,12.436,16.995,31.647
19, 7, 17.5484,7.20369,1.987,12.3795,18.2235,22.3425,32.481
19, 8, 22.3757,6.83729,6.319,18.2355,21.3135,26.921,42.437
19, 9, 28.7137,8.03034,15.304,21.647,27.285,35.55,46.942
19, 10, 31.5517,8.09665,15.3,25.377,30.775,38.65,49.347
19, 11, 36.5406,8.57049,15.996,29.5885,35.973,43.581,58.192
19, 12, 38.4756,6.80216,20.956,33.506,39.791,43.2155,53.665
19, 13, 40.8483,7.96863,22.667,35.8945,42.2755,46.323,56.454
19, 14, 47.355,6.29514,32.069,42.9185,48.0855,51.678,59.777
19, 15, 45.6654,8.07936,28.542,40.9025,46.3345,50.5045,64.916
19, 16, 54.5372,7.50535,34.476,49.7145,56.007,59.5985,70.902
19, 17, 57.5974,7.25614,37.209,52.1745,58.3775,62.187,73.034
19, 18, 58.8017,8.54235,33.066,53.9615,58.624,64.811,77.537
19, 19, 64.3299,7.76206,39.959,59.5835,65.2805,70.139,80.231
19, 20, 66.5287,9.38482,30.834,61.5835,66.0395,73.7845,83.805
20, 1, 0.31548,0.320074,0.023,0.026,0.363,0.455,1.731
20, 2, 0.86587,0.547785,0.044,0.4145,0.7795,1.095,2.723
20, 3, 1.3684,1.22246,0.324,0.753,1.1705,1.653,11.24
20, 4, 3.42091,3.37123,0.353,1.5165,2.055,2.9565,18.267
20, 5, 7.52802,6.55105,0.998,2.2585,5.7775,11.2225,32.1
20, 6, 13.6176,7.49414,1.443,8.549,12.4855,18.492,37.911
20, 7, 19.525,10.4309,1.262,11.6,17.7215,25.675,49.219
20, 8, 26.0345,12.1707,1.981,17.2975,24.652,33.753,64.83
20, 9, 30.3187,10.1298,8.881,21.5235,30.0365,37.266,54.937
20, 10, 41.3262,12.6479,10.778,30.899,40.9725,51.2365,73.099
20, 11, 47.3645,12.5837,15.748,37.2205,48.1215,56.2685,78.534
20, 12, 53.173,14.5026,26.067,41.475,52.9055,63.585,88.93
20, 13, 62.1226,12.962,31.106,53.7555,62.4235,70.6925,90.172
20, 14, 63.4292,14.9108,29.033,52.944,64.624,75.271,96.886
