Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
10, 18, 25.8278,1.47869,21.969,25.007,25.9415,26.5535,30.215
10, 19, 26.7709,1.36247,23.326,26.0745,26.76,27.8195,30.035
10, 20, 27.6217,1.61943,23.428,26.6535,27.5995,28.624,31.218
11, 1, 0.95261,1.34034,0.018,0.019,0.02,1.8965,5.354
11, 2, 2.5537,2.49644,0.029,0.0325,1.942,3.8245,11.955
11, 3, 4.67393,3.56003,0.038,1.997,4.012,7.653,14.432
11, 4, 8.49641,4.15083,0.051,5.952,8.066,11.505,18.344
11, 5, 10.7921,4.7103,0.06,7.7095,10.76,14.547,22.109
11, 6, 14.9696,4.26315,4.039,11.8025,15.5425,18.362,22.631
11, 7, 17.0932,4.07658,3.643,14.7155,18.449,19.9985,23.253
11, 8, 18.8637,2.73704,10.679,16.933,19.1195,20.9645,23.714
11, 9, 19.1979,3.75911,5.043,17.575,19.894,22.1295,25.663
11, 10, 21.7699,2.22481,11.227,20.735,22.23,23.19,25.833
11, 11, 22.2271,2.22368,14.977,20.908,22.532,23.647,26.857
11, 12, 23.8119,1.57671,17.644,23.122,23.963,24.8585,27.1
11, 13, 24.4828,1.75812,18.604,23.619,24.7835,25.4905,28.399
11, 14, 25.5034,1.91799,20.694,24.329,25.457,26.96,29.93
11, 15, 26.2333,1.38,22.276,25.5155,26.1205,27.156,31.727
11, 16, 27.3721,1.50967,23.918,26.3725,27.3205,28.209,31.345
11, 17, 28.148,1.58652,24.182,27.1145,28.125,29.281,32.12
11, 18, 28.6927,1.89928,19.69,27.6465,28.9225,30.099,32.662
11, 19, 29.7917,1.52491,24.431,28.905,29.7385,30.717,33.972
11, 20, 30.3814,1.69587,27.601,28.7705,30.422,31.6085,33.919
12, 1, 1.03668,1.38197,0.019,0.021,0.022,1.9075,7.013
12, 2, 3.04589,2.57692,0.031,1.7255,2.1385,4.168,11.131
12, 3, 6.02393,4.03521,0.043,2.163,5.8285,8.6765,16.037
12, 4, 9.0253,4.9454,0.055,5.689,8.612,12.497,21.094
12, 5, 13.0496,5.07431,0.067,9.293,13.4925,17.003,23.628
12, 6, 16.2735,3.98272,3.913,13.58,16.857,19.512,22.332
12, 7, 19.3696,3.63495,9.81,17.463,19.875,22.045,26.019
12, 8, 20.7321,3.33748,7.739,19.114,21.2005,22.894,26.357
