Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
14, 7, 14.3552,0.218297,13.824,14.2085,14.3525,14.5345,14.841
14, 8, 15.4183,0.261148,14.899,15.2495,15.4105,15.5705,16.48
14, 9, 16.7706,0.244092,16.229,16.613,16.765,16.956,17.27
14, 10, 17.904,0.269002,17.24,17.7075,17.9105,18.0945,18.454
14, 11, 19.0605,0.234981,18.437,18.915,19.098,19.196,19.755
14, 12, 20.1655,0.244978,19.576,19.998,20.14,20.3475,20.713
14, 13, 21.385,0.23007,20.797,21.247,21.401,21.545,21.961
14, 14, 22.4943,0.192941,22.104,22.3615,22.477,22.6345,23.01
14, 15, 23.7854,0.281657,23.011,23.5765,23.7825,24.007,24.355
14, 16, 24.8518,0.257973,24.415,24.6285,24.8705,25.055,25.445
14, 17, 26.1516,0.23932,25.484,25.99,26.1545,26.292,26.951
14, 18, 27.2455,0.255866,26.566,27.0875,27.276,27.45,27.832
14, 19, 28.4613,0.288809,27.788,28.2275,28.4485,28.7215,29.162
14, 20, 29.5417,0.262023,29.04,29.331,29.5215,29.7065,30.164
15, 1, 1.90485,0.193796,1.41,1.772,1.911,2.046,2.45
15, 2, 2.58802,0.234763,1.951,2.4105,2.5715,2.7705,3.146
15, 3, 11.9732,0.248338,11.331,11.8025,11.9505,12.14,12.568
15, 4, 13.3693,0.254556,12.752,13.2065,13.3595,13.536,14.055
15, 5, 14.9219,0.207149,14.42,14.773,14.911,15.0455,15.365
15, 6, 16.2516,0.22904,15.617,16.0995,16.231,16.416,16.938
15, 7, 17.6852,0.258948,17.121,17.5145,17.6695,17.8555,18.277
15, 8, 18.9863,0.239959,18.394,18.811,18.984,19.1405,19.689
15, 9, 20.47,0.238075,19.682,20.3135,20.487,20.6155,21.248
15, 10, 21.7045,0.24596,20.99,21.5245,21.7235,21.868,22.426
15, 11, 23.2135,0.262075,22.512,23.0635,23.203,23.423,23.843
15, 12, 24.5075,0.245853,23.998,24.339,24.55,24.649,25.071
15, 13, 26.0052,0.265185,25.347,25.828,25.9935,26.161,26.653
15, 14, 27.2203,0.23446,26.587,27.064,27.2305,27.386,27.779
15, 15, 28.7438,0.276141,28.032,28.556,28.7445,28.91,29.471
15, 16, 30.0373,0.284914,29.29,29.814,30.048,30.2385,30.719
15, 17, 31.4279,0.287005,30.388,31.274,31.4585,31.6,32.1
15, 18, 32.73,0.258285,32.071,32.5515,32.742,32.8945,33.496
15, 19, 34.1982,0.322957,33.368,33.949,34.191,34.4305,35.014
15, 20, 35.4507,0.288901,34.589,35.264,35.4485,35.641,36.189
16, 1, 2.4544,0.223489,1.988,2.282,2.451,2.617,3.005
16, 2, 2.95895,0.232378,2.421,2.768,2.991,3.136,3.533
16, 3, 11.0494,0.242331,10.534,10.874,11.061,11.216,11.594
16, 4, 13.1538,0.255642,12.296,12.9885,13.16,13.306,13.809
16, 5, 14.7729,0.223589,14.183,14.618,14.7685,14.932,15.309
16, 6, 16.4605,0.209365,15.851,16.3255,16.4585,16.61,16.973
16, 7, 18.6254,0.246585,18.056,18.455,18.612,18.7885,19.162
16, 8, 20.1197,0.249785,19.414,19.9775,20.1425,20.284,20.679
16, 9, 22.0702,0.264379,21.318,21.888,22.0635,22.263,22.83
16, 10, 23.4877,0.236228,22.832,23.317,23.519,23.636,24.044
16, 11, 25.0621,0.262776,24.182,24.8965,25.056,25.23,25.657
16, 12, 26.6654,0.234882,26.094,26.478,26.667,26.8335,27.2
16, 13, 27.8885,0.26732,27.126,27.705,27.889,28.074,28.433
16, 14, 29.1641,0.264151,28.642,28.9555,29.16,29.3665,29.884
16, 15, 30.3349,0.395597,29.708,30.023,30.283,30.483,31.438
16, 16, 31.099,0.27791,30.495,30.9025,31.048,31.265,31.83
16, 17, 32.5444,0.281136,31.72,32.342,32.562,32.712,33.117
16, 18, 33.9038,0.298762,33.154,33.7025,33.9255,34.125,34.551
16, 19, 35.001,0.308139,34.363,34.7925,34.962,35.2185,35.999
16, 20, 35.9532,0.323191,35.27,35.6555,35.971,36.1595,36.647
17, 1, 2.57037,0.212506,2.069,2.409,2.5925,2.7305,3.103
17, 2, 14.8252,0.282038,14.146,14.628,14.8375,15.011,15.476
17, 3, 17.7121,0.361252,16.891,17.428,17.734,17.9555,18.667
17, 4, 20.3233,0.306841,19.542,20.1335,20.2755,20.5365,21.206
17, 5, 23.3839,0.280383,22.679,23.1835,23.388,23.5685,23.964
17, 6, 25.8979,0.255299,25.228,25.735,25.9085,26.0635,26.597
17, 7, 28.4711,0.256367,27.989,28.3095,28.452,28.6385,29.177
17, 8, 30.2222,0.430941,29.289,29.943,30.182,30.483,31.571
17, 9, 31.4852,0.363705,30.668,31.2425,31.4795,31.663,32.765
17, 10, 33.2204,0.36766,32.437,32.977,33.255,33.448,34.028
17, 11, 34.6887,0.301329,33.818,34.4895,34.6645,34.8735,35.641
17, 12, 35.8243,0.302493,35.255,35.603,35.8175,36.05,36.765
17, 13, 36.9095,0.479159,36.128,36.6015,36.7905,37.1145,38.737
17, 14, 38.185,0.362559,37.277,37.9475,38.116,38.409,39.285
17, 15, 39.7735,0.344967,38.789,39.577,39.7755,39.9805,40.484
17, 16, 41.3077,0.289228,40.314,41.122,41.3135,41.496,42.039
17, 17, 43.1654,0.292458,42.499,42.979,43.156,43.3285,44.388
17, 18, 43.8335,0.4007,42.985,43.5895,43.819,43.9645,45.378
17, 19, 44.9066,0.401982,44.035,44.6175,44.887,45.1915,45.95
17, 20, 46.5207,0.31084,45.908,46.287,46.497,46.7015,47.427
18, 1, 2.77813,0.236922,2.268,2.5925,2.758,2.966,3.408
18, 2, 3.41694,0.230279,2.818,3.2645,3.421,3.5665,3.984
18, 3, 15.2474,0.266731,14.499,15.081,15.2455,15.4235,16.026
18, 4, 18.365,0.764199,17.084,17.6415,18.5515,19.06,19.624
18, 5, 21.974,0.223325,21.485,21.774,21.9885,22.137,22.456
18, 6, 24.9895,0.293713,24.334,24.792,24.968,25.1885,25.952
18, 7, 27.2119,0.542482,26.039,26.863,27.0815,27.3985,28.821
18, 8, 29.1367,0.351528,28.415,28.929,29.1225,29.3135,30.529
18, 9, 30.3585,0.613245,29.468,29.999,30.173,30.4985,32.977
18, 10, 31.3526,0.334149,30.734,31.1445,31.3055,31.529,32.401
18, 11, 33.6202,0.254293,32.941,33.4295,33.6075,33.7915,34.392
18, 12, 35.7317,0.332389,35.117,35.509,35.7145,35.874,36.776
18, 13, 37.831,0.27011,37.171,37.618,37.822,38.018,38.47
18, 14, 40.1313,0.351173,39.512,39.9055,40.109,40.2785,41.325
18, 15, 42.6037,0.2721,42.074,42.4035,42.604,42.794,43.266
18, 16, 44.6117,0.328235,43.709,44.3835,44.6205,44.8445,45.496
18, 17, 47.1319,0.321376,46.59,46.9325,47.058,47.309,48.154
18, 18, 49.1862,0.313686,48.418,48.9465,49.155,49.359,50.092
18, 19, 51.5457,0.395459,50.829,51.338,51.5315,51.736,52.934
18, 20, 53.5385,0.331514,52.937,53.2705,53.514,53.747,54.532
19, 1, 2.79392,0.213371,2.36,2.63,2.8085,2.9555,3.212
19, 2, 20.9259,0.832919,19.935,20.295,20.517,21.845,23.167
19, 3, 28.4693,0.778815,26.234,27.999,28.725,29.037,29.591
19, 4, 34.4186,0.404172,33.202,34.1855,34.381,34.674,35.663
19, 5, 38.321,0.749927,36.531,37.932,38.478,38.747,40.09
19, 6, 43.9319,0.37171,42.807,43.7235,43.9415,44.14,45.342
19, 7, 47.9807,0.839892,46.688,47.45,47.6925,48.1615,50.22
19, 8, 52.8311,0.301053,51.855,52.6295,52.8,53.0685,53.413
19, 9, 58.1231,0.311401,57.331,57.8975,58.1395,58.33,58.809
19, 10, 63.2435,0.291366,62.128,63.0655,63.2355,63.4515,63.871
19, 11, 68.5536,0.366882,67.763,68.318,68.5345,68.733,69.782
19, 12, 73.9437,0.350281,73.218,73.6705,73.907,74.208,74.721
19, 13, 79.1789,0.365436,77.97,78.958,79.192,79.3835,80.332
19, 14, 84.2795,0.286724,83.613,84.0745,84.255,84.5015,84.995
19, 15, 89.648,0.352228,88.831,89.443,89.639,89.8775,91.013
19, 16, 94.9062,0.292231,94.241,94.668,94.9545,95.126,95.548
19, 17, 100.213,0.418967,99.463,99.944,100.178,100.415,102.191
19, 18, 105.358,0.315015,104.764,105.097,105.357,105.535,106.296
19, 19, 110.685,0.343466,109.84,110.446,110.686,110.936,111.441
19, 20, 115.871,0.271772,115.189,115.66,115.874,116.033,116.583
20, 1, 2.55775,0.21818,1.959,2.4265,2.539,2.704,3.117
